,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
"gi|65372047|ref|NC_007002.1| Banana streak GF virus, complete genome",0.0,543.0,483.0,0.0,0.0,0.0,0.0,0.0,462.0,1206.0,1243.0,1243.0,1236.0,1243.0,1243.0,1243.0,1243.0,1243.0,1243.0,1017.0,0.0,759.0,1241.0,1030.0,747.0,0.0,1203.0,1030.0,1030.0,525.0,1243.0,1243.0,469.0,1048.0,1243.0,1030.0,1243.0,272.0,909.0,813.0,170.0,239.0,506.0,753.0,1030.0,525.0,1030.0,253.0,1003.0,1030.0,215.0,0.0,460.0,669.0,1012.0,1115.0,88.0,0.0,313.0,996.0,1243.0,0.0,0.0,0.0,0.0,747.0,1030.0,1030.0,250.0,1128.0,0.0,1030.0,817.0,525.0,485.0,1030.0,234.0,152.0,944.0,974.0,107.0,219.0,272.0,1030.0,1029.0,268.0,1030.0,960.0,923.0,942.0,1212.0,263.0,215.0,241.0,214.0,0.0,1030.0,1009.0,248.0,0.0,0.0,694.0,738.0,205.0,0.0,0.0,0.0,0.0,543.0,1030.0,1030.0,485.0,759.0,183.0,1222.0,1030.0,0.0,481.0,1243.0,971.0,1213.0,1174.0,1030.0,1022.0,525.0,777.0,1206.0,703.0,0.0,506.0,158.0,1030.0,485.0,90.0,145.0,0.0,0.0,1243.0
"gi|332308951|ref|NC_015507.1| Banana streak IM virus, complete genome",0.0,610.0,502.0,0.0,0.0,0.0,0.0,0.0,462.0,1287.0,1243.0,1378.0,1331.0,1330.0,1314.0,1378.0,1378.0,1378.0,1317.0,1046.0,0.0,834.0,1323.0,1091.0,796.0,0.0,1223.0,1125.0,1122.0,581.0,1378.0,1378.0,469.0,1078.0,1377.0,1069.0,1363.0,285.0,929.0,813.0,170.0,239.0,572.0,819.0,1111.0,581.0,1125.0,253.0,1049.0,1125.0,215.0,0.0,460.0,669.0,1024.0,1125.0,88.0,0.0,313.0,1024.0,1378.0,0.0,0.0,0.0,0.0,813.0,1117.0,1125.0,250.0,1139.0,0.0,1105.0,817.0,581.0,542.0,1111.0,235.0,152.0,1010.0,1007.0,107.0,219.0,276.0,1125.0,1029.0,268.0,1125.0,1012.0,988.0,945.0,1242.0,263.0,215.0,241.0,214.0,0.0,1125.0,1121.0,248.0,0.0,0.0,700.0,834.0,205.0,0.0,0.0,0.0,0.0,610.0,1125.0,1125.0,543.0,834.0,183.0,1342.0,1115.0,0.0,503.0,1364.0,1051.0,1289.0,1238.0,1113.0,1060.0,581.0,863.0,1282.0,756.0,0.0,572.0,158.0,1125.0,572.0,90.0,145.0,0.0,0.0,1378.0
"gi|62327614|ref|NC_006955.1| Banana streak Mysore virus, complete genome",0.0,633.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1296.0,1236.0,1331.0,1393.0,1346.0,1341.0,1392.0,1393.0,1378.0,1316.0,1078.0,0.0,886.0,1287.0,1136.0,807.0,0.0,1226.0,1187.0,1152.0,622.0,1393.0,1393.0,468.0,1041.0,1368.0,1069.0,1360.0,285.0,902.0,813.0,170.0,239.0,596.0,843.0,1163.0,622.0,1187.0,253.0,1088.0,1162.0,215.0,0.0,460.0,669.0,1030.0,1108.0,88.0,0.0,313.0,1038.0,1371.0,0.0,0.0,0.0,0.0,830.0,1159.0,1187.0,250.0,1121.0,0.0,1149.0,817.0,622.0,528.0,1160.0,235.0,152.0,1026.0,1018.0,107.0,219.0,276.0,1187.0,1029.0,268.0,1187.0,982.0,970.0,935.0,1236.0,263.0,215.0,241.0,214.0,0.0,1187.0,1106.0,248.0,0.0,0.0,687.0,809.0,205.0,0.0,0.0,0.0,0.0,633.0,1187.0,1187.0,534.0,886.0,183.0,1319.0,1167.0,0.0,474.0,1384.0,1061.0,1303.0,1258.0,1129.0,1079.0,622.0,897.0,1235.0,734.0,0.0,596.0,158.0,1187.0,538.0,90.0,145.0,0.0,0.0,1393.0
"gi|18450258|ref|NC_003381.1| Banana streak OL virus, complete genome",0.0,595.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1291.0,1243.0,1330.0,1346.0,1364.0,1336.0,1364.0,1364.0,1364.0,1318.0,1061.0,0.0,857.0,1305.0,1121.0,811.0,0.0,1238.0,1144.0,1131.0,589.0,1364.0,1364.0,469.0,1055.0,1364.0,1069.0,1338.0,285.0,916.0,813.0,170.0,239.0,576.0,823.0,1134.0,589.0,1144.0,253.0,1081.0,1124.0,215.0,0.0,460.0,669.0,1030.0,1122.0,88.0,0.0,313.0,1042.0,1360.0,0.0,0.0,0.0,0.0,806.0,1139.0,1144.0,250.0,1135.0,0.0,1125.0,817.0,589.0,528.0,1131.0,235.0,152.0,1002.0,1022.0,107.0,219.0,276.0,1144.0,1029.0,268.0,1144.0,996.0,966.0,945.0,1240.0,263.0,215.0,241.0,214.0,0.0,1144.0,1096.0,248.0,0.0,0.0,700.0,799.0,205.0,0.0,0.0,0.0,0.0,595.0,1144.0,1144.0,528.0,857.0,183.0,1313.0,1138.0,0.0,488.0,1364.0,1056.0,1298.0,1259.0,1127.0,1079.0,589.0,863.0,1249.0,746.0,0.0,576.0,158.0,1144.0,528.0,90.0,145.0,0.0,0.0,1364.0
"gi|332304382|ref|NC_015502.1| Banana streak UA virus, complete genome",0.0,609.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1365.0,1243.0,1314.0,1341.0,1336.0,1412.0,1410.0,1401.0,1390.0,1330.0,1079.0,0.0,855.0,1305.0,1152.0,795.0,0.0,1244.0,1184.0,1110.0,581.0,1401.0,1388.0,469.0,1063.0,1359.0,1067.0,1337.0,280.0,924.0,813.0,170.0,239.0,554.0,801.0,1132.0,581.0,1184.0,253.0,1099.0,1112.0,215.0,0.0,460.0,669.0,1030.0,1125.0,88.0,0.0,313.0,1048.0,1344.0,0.0,0.0,0.0,0.0,778.0,1117.0,1184.0,250.0,1139.0,0.0,1098.0,817.0,581.0,503.0,1109.0,235.0,152.0,974.0,1028.0,107.0,219.0,276.0,1184.0,1029.0,268.0,1184.0,1004.0,946.0,945.0,1243.0,263.0,215.0,241.0,214.0,0.0,1171.0,1076.0,248.0,0.0,0.0,700.0,779.0,205.0,0.0,0.0,0.0,0.0,609.0,1149.0,1157.0,504.0,855.0,183.0,1299.0,1136.0,0.0,496.0,1364.0,1132.0,1374.0,1311.0,1112.0,1079.0,581.0,883.0,1229.0,726.0,0.0,554.0,158.0,1184.0,508.0,90.0,145.0,0.0,0.0,1412.0
"gi|332308935|ref|NC_015503.1| Banana streak UI virus, complete genome",0.0,663.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1383.0,1243.0,1378.0,1392.0,1364.0,1410.0,1503.0,1489.0,1462.0,1338.0,1079.0,0.0,906.0,1354.0,1157.0,815.0,0.0,1242.0,1238.0,1159.0,634.0,1490.0,1476.0,469.0,1078.0,1423.0,1069.0,1403.0,285.0,929.0,813.0,170.0,239.0,603.0,850.0,1183.0,634.0,1235.0,253.0,1097.0,1163.0,215.0,0.0,460.0,669.0,1030.0,1125.0,88.0,0.0,313.0,1046.0,1431.0,0.0,0.0,0.0,0.0,829.0,1166.0,1236.0,250.0,1139.0,0.0,1149.0,817.0,634.0,545.0,1160.0,235.0,152.0,1025.0,1026.0,107.0,219.0,276.0,1238.0,1029.0,268.0,1237.0,1012.0,995.0,945.0,1243.0,263.0,215.0,241.0,214.0,0.0,1222.0,1164.0,248.0,0.0,0.0,700.0,867.0,205.0,0.0,0.0,0.0,0.0,663.0,1198.0,1206.0,552.0,906.0,183.0,1374.0,1187.0,0.0,503.0,1424.0,1151.0,1390.0,1310.0,1137.0,1079.0,634.0,935.0,1286.0,756.0,0.0,603.0,158.0,1238.0,596.0,90.0,145.0,0.0,0.0,1499.0
"gi|332308939|ref|NC_015504.1| Banana streak UL virus, complete genome",0.0,683.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1372.0,1243.0,1378.0,1393.0,1364.0,1401.0,1489.0,1509.0,1459.0,1338.0,1079.0,0.0,902.0,1348.0,1146.0,812.0,0.0,1239.0,1247.0,1163.0,633.0,1504.0,1469.0,469.0,1078.0,1421.0,1069.0,1410.0,285.0,929.0,813.0,170.0,239.0,607.0,854.0,1179.0,633.0,1231.0,253.0,1094.0,1170.0,215.0,0.0,460.0,669.0,1030.0,1125.0,88.0,0.0,313.0,1043.0,1436.0,0.0,0.0,0.0,0.0,836.0,1170.0,1232.0,250.0,1139.0,0.0,1156.0,817.0,633.0,545.0,1167.0,235.0,152.0,1028.0,1023.0,107.0,219.0,276.0,1241.0,1029.0,268.0,1233.0,1012.0,995.0,945.0,1243.0,263.0,215.0,241.0,214.0,0.0,1218.0,1168.0,248.0,0.0,0.0,700.0,871.0,205.0,0.0,0.0,0.0,0.0,683.0,1202.0,1210.0,552.0,902.0,183.0,1378.0,1183.0,0.0,503.0,1428.0,1154.0,1392.0,1307.0,1134.0,1079.0,633.0,952.0,1286.0,756.0,0.0,607.0,158.0,1247.0,600.0,90.0,145.0,0.0,0.0,1495.0
"gi|332308943|ref|NC_015505.1| Banana streak UM virus, complete genome",0.0,645.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1365.0,1243.0,1378.0,1378.0,1364.0,1390.0,1462.0,1459.0,1466.0,1338.0,1079.0,0.0,883.0,1353.0,1143.0,819.0,0.0,1244.0,1206.0,1152.0,607.0,1466.0,1448.0,469.0,1078.0,1423.0,1069.0,1394.0,285.0,929.0,813.0,170.0,239.0,598.0,845.0,1160.0,607.0,1206.0,253.0,1095.0,1154.0,215.0,0.0,460.0,669.0,1030.0,1125.0,88.0,0.0,313.0,1048.0,1418.0,0.0,0.0,0.0,0.0,820.0,1161.0,1206.0,250.0,1139.0,0.0,1140.0,817.0,607.0,545.0,1149.0,235.0,152.0,1016.0,1030.0,107.0,219.0,276.0,1206.0,1029.0,268.0,1206.0,1012.0,991.0,945.0,1243.0,263.0,215.0,241.0,214.0,0.0,1199.0,1150.0,248.0,0.0,0.0,700.0,853.0,205.0,0.0,0.0,0.0,0.0,645.0,1184.0,1192.0,546.0,883.0,183.0,1369.0,1164.0,0.0,503.0,1416.0,1129.0,1367.0,1314.0,1140.0,1079.0,607.0,921.0,1286.0,756.0,0.0,598.0,158.0,1206.0,582.0,90.0,145.0,0.0,0.0,1466.0
"gi|65362558|ref|NC_007003.1| Banana streak virus strain Acuminata Vietnam, complete genome",0.0,587.0,497.0,0.0,0.0,0.0,0.0,0.0,462.0,1285.0,1243.0,1317.0,1316.0,1318.0,1330.0,1338.0,1338.0,1338.0,1338.0,1067.0,0.0,811.0,1287.0,1105.0,777.0,0.0,1218.0,1110.0,1092.0,563.0,1338.0,1338.0,469.0,1063.0,1338.0,1065.0,1320.0,285.0,924.0,813.0,170.0,239.0,536.0,783.0,1088.0,563.0,1110.0,253.0,1057.0,1103.0,215.0,0.0,460.0,669.0,1030.0,1125.0,88.0,0.0,313.0,1022.0,1330.0,0.0,0.0,0.0,0.0,777.0,1094.0,1110.0,250.0,1139.0,0.0,1082.0,817.0,563.0,511.0,1088.0,235.0,152.0,974.0,1002.0,107.0,219.0,276.0,1110.0,1029.0,268.0,1110.0,1000.0,954.0,945.0,1243.0,263.0,215.0,241.0,214.0,0.0,1110.0,1078.0,248.0,0.0,0.0,700.0,787.0,205.0,0.0,0.0,0.0,0.0,587.0,1110.0,1110.0,512.0,811.0,183.0,1281.0,1092.0,0.0,496.0,1333.0,1050.0,1292.0,1253.0,1094.0,1068.0,563.0,835.0,1237.0,734.0,0.0,536.0,158.0,1110.0,516.0,90.0,145.0,0.0,0.0,1338.0
"gi|95020638|ref|NC_008018.1| Banana streak virus, complete genome",0.0,563.0,481.0,63.0,123.0,211.0,201.0,91.0,462.0,1053.0,1017.0,1046.0,1078.0,1061.0,1079.0,1079.0,1079.0,1079.0,1067.0,1309.0,0.0,777.0,1016.0,1304.0,959.0,0.0,988.0,1309.0,1049.0,545.0,1079.0,1079.0,261.0,835.0,1073.0,1028.0,1052.0,261.0,696.0,628.0,96.0,239.0,493.0,740.0,1054.0,545.0,1079.0,253.0,1265.0,1063.0,215.0,148.0,460.0,669.0,1019.0,902.0,88.0,0.0,233.0,1006.0,1062.0,0.0,0.0,0.0,0.0,734.0,1056.0,1079.0,250.0,915.0,214.0,1046.0,631.0,545.0,261.0,1054.0,232.0,152.0,931.0,986.0,107.0,219.0,261.0,1309.0,826.0,187.0,1079.0,756.0,699.0,944.0,1026.0,261.0,215.0,241.0,214.0,205.0,1079.0,829.0,251.0,0.0,230.0,706.0,532.0,121.0,0.0,0.0,0.0,0.0,563.0,1308.0,1079.0,261.0,1007.0,259.0,1010.0,1058.0,0.0,261.0,1071.0,818.0,1060.0,1021.0,1051.0,1051.0,545.0,795.0,982.0,479.0,0.0,493.0,254.0,1309.0,261.0,0.0,145.0,0.0,134.0,1079.0
"gi|472438220|ref|NC_020881.1| Bat hepatitis virus isolate 776, complete genome",174.0,0.0,0.0,0.0,85.0,254.0,168.0,171.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,174.0,85.0,174.0,0.0,0.0,0.0,169.0,171.0,0.0,0.0,0.0,350.0,174.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,174.0,174.0,0.0,0.0,86.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,259.0,174.0,174.0,259.0,0.0,0.0,0.0,174.0,168.0,0.0,0.0,0.0,174.0,174.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,179.0,174.0,88.0,168.0,0.0
